Car No	Manufacture	Speed	Millage	User Rating
59-H2 5751	FORD	250.0619942	213	4
59-H2 5752	FORD	278.4170286	214	2
59-H2 5753	FORD	291.7083559	215	2
59-H2 5754	Honda	138.1240865	216	3
59-H2 5755	Honda	216.6029332	217	2
59-H2 5756	Honda	25.23702326	218	1
59-H2 5757	Honda	126.6308264	219	4
59-H2 5758	Honda	296.2209157	220	3
59-H2 5759	Honda	28.41653433	221	4
59-H2 5738	Audi	275.3753843	200	4
59-H2 5739	Audi	19.96095664	201	3
59-H2 5740	Audi	273.2843079	202	2
59-H2 5741	Audi	178.2462657	203	1
59-H2 5742	Audi	26.72377058	204	4
59-H2 5743	FIAT	173.9405335	205	5
59-H2 5744	FIAT	238.5780163	206	1
59-H2 5745	FIAT	31.58735192	207	4
59-H2 5746	FIAT	15.04670015	208	2
59-H2 5747	FIAT	224.1340489	209	4
59-H2 5748	FIAT	123.6747096	210	3
59-H2 5749	FORD	220.5997166	211	1
59-H2 5750	FORD	162.5674223	212	5
59-H2 5751	FORD	101.8002759	213	4
59-H2 5752	FORD	211.3133515	214	2
59-H2 5753	FORD	264.32849	215	2
59-H2 5754	Honda	99.92348486	216	3
59-H2 5755	Honda	50.26037634	217	2
59-H2 5756	Honda	175.045094	218	1
59-H2 5757	Honda	238.5289018	219	4
59-H2 5758	Honda	17.31013439	220	3
59-H2 5759	Honda	257.3810677	221	4
59-H2 5738	Audi	182.3360526	200	4
59-H2 5739	Audi	9.004368523	201	3
59-H2 5740	Audi	136.3902911	202	2
59-H2 5741	Audi	171.4045841	203	1
59-H2 5742	Audi	247.7230213	204	4
59-H2 5743	FIAT	50.77555887	205	5
59-H2 5744	FIAT	44.23312798	206	1
59-H2 5745	FIAT	245.3807675	207	4
59-H2 5746	FIAT	59.21318239	208	2
59-H2 5747	FIAT	278.1998547	209	4
59-H2 5748	FIAT	143.3561216	210	3
59-H2 5749	FORD	266.1604462	211	1
59-H2 5750	FORD	48.72054603	212	5
59-H2 5751	FORD	223.5270712	213	4
59-H2 5752	FORD	72.99243728	214	2
59-H2 5753	FORD	9.678130393	215	2
59-H2 5754	Honda	134.8414747	216	3
59-H2 5755	Honda	127.2606018	217	2
59-H2 5756	Honda	14.31344216	218	1
59-H2 5757	Honda	239.8311226	219	4
59-H2 5758	Honda	51.50528333	220	3
59-H2 5759	Honda	220.3157622	221	4
59-H2 5738	Audi	55.8331674	200	4
59-H2 5739	Audi	42.37385347	201	3
59-H2 5740	Audi	130.5269535	202	2
59-H2 5741	Audi	68.63549588	203	1
59-H2 5742	Audi	10.68707511	204	4
59-H2 5743	FIAT	177.973986	205	5
59-H2 5744	FIAT	20.01813236	206	1
59-H2 5745	FIAT	223.0248573	207	4
59-H2 5746	FIAT	172.9195217	208	2
59-H2 5747	FIAT	166.828137	209	4
59-H2 5748	FIAT	296.6029669	210	3
59-H2 5749	FORD	265.6491925	211	1
59-H2 5750	FORD	212.1905812	212	5
59-H2 5751	FORD	240.6491016	213	4
59-H2 5752	FORD	60.21907596	214	2
59-H2 5753	FORD	12.06482594	215	2
59-H2 5754	Honda	174.7020953	216	3
59-H2 5755	Honda	247.6049867	217	2
59-H2 5756	Honda	296.2374519	218	1
59-H2 5757	Honda	280.5400614	219	4
59-H2 5758	Honda	196.5482792	220	3
59-H2 5759	Honda	168.4162552	221	4
59-H2 5738	Audi	3.012170744	200	4
59-H2 5739	Audi	5.538367719	201	3
59-H2 5740	Audi	288.5810485	202	2
59-H2 5741	Audi	229.2622745	203	1
59-H2 5742	Audi	87.40447707	204	4
59-H2 5743	FIAT	285.3329326	205	5
59-H2 5744	FIAT	133.7939258	206	1
59-H2 5745	FIAT	64.12083694	207	4
59-H2 5746	FIAT	259.4314627	208	2
59-H2 5747	FIAT	290.6899821	209	4
59-H2 5748	FIAT	130.4461427	210	3
59-H2 5749	FORD	294.7502195	211	1
59-H2 5750	FORD	212.0600046	212	5
59-H2 5751	FORD	53.33573596	213	4
59-H2 5752	FORD	209.4536607	214	2
59-H2 5753	FORD	287.6409783	215	2
59-H2 5754	Honda	18.96346304	216	3
59-H2 5755	Honda	204.7953771	217	2
59-H2 5756	Honda	147.5720256	218	1
59-H2 5757	Honda	170.9540309	219	4
59-H2 5758	Honda	247.582706	220	3
59-H2 5759	Honda	112.4709116	221	4
59-H2 5738	Audi	288.1288822	200	4
59-H2 5739	Audi	275.8618297	201	3
59-H2 5740	Audi	164.8385362	202	2
59-H2 5741	Audi	70.62762706	203	1
59-H2 5742	Audi	244.8584012	204	4
59-H2 5743	FIAT	282.5557342	205	5
59-H2 5744	FIAT	35.86444601	206	1
59-H2 5745	FIAT	135.3745018	207	4
59-H2 5746	FIAT	7.566889763	208	2
59-H2 5747	FIAT	53.8169322	209	4
59-H2 5748	FIAT	276.7167865	210	3
59-H2 5749	FORD	192.600681	211	1
59-H2 5750	FORD	208.3893989	212	5
59-H2 5751	FORD	142.9102829	213	4
59-H2 5752	FORD	73.99407425	214	2
59-H2 5753	FORD	195.9908388	215	2
59-H2 5754	Honda	178.4023886	216	3
59-H2 5755	Honda	231.4305629	217	2
59-H2 5756	Honda	285.7178605	218	1
59-H2 5757	Honda	94.68070479	219	4
59-H2 5758	Honda	81.41867007	220	3
59-H2 5759	Honda	40.26579281	221	4
59-H2 5738	Audi	266.5394464	200	4
59-H2 5739	Audi	247.6886325	201	3
59-H2 5740	Audi	215.5150687	202	2
59-H2 5741	Audi	103.7447482	203	1
59-H2 5742	Audi	41.70823575	204	4
59-H2 5743	FIAT	284.3335389	205	5
59-H2 5744	FIAT	140.0756649	206	1
59-H2 5745	FIAT	296.5148101	207	4
59-H2 5746	FIAT	100.9970562	208	2
59-H2 5747	FIAT	15.51375499	209	4
59-H2 5748	FIAT	46.98723168	210	3
59-H2 5749	FORD	297.9571151	211	1
59-H2 5750	FORD	250.1446245	212	5
59-H2 5751	FORD	247.3841881	213	4
59-H2 5752	FORD	285.7999796	214	2
59-H2 5753	FORD	56.89308129	215	2
59-H2 5754	Honda	221.3380199	216	3
59-H2 5755	Honda	99.00832245	217	2
59-H2 5756	Honda	108.8167587	218	1
59-H2 5757	Honda	66.548666	219	4
59-H2 5758	Honda	155.3178618	220	3
59-H2 5759	Honda	7.517485928	221	4
59-H2 5738	Audi	54.58434866	200	4
59-H2 5739	Audi	164.3966829	201	3
59-H2 5740	Audi	39.39077482	202	2
59-H2 5741	Audi	207.5535974	203	1
59-H2 5742	Audi	260.8858713	204	4
59-H2 5743	FIAT	196.5876038	205	5
59-H2 5744	FIAT	84.85687161	206	1
59-H2 5745	FIAT	55.05149966	207	4
59-H2 5746	FIAT	115.0596299	208	2
59-H2 5747	FIAT	275.3633006	209	4
59-H2 5748	FIAT	254.1212068	210	3
59-H2 5749	FORD	281.0170467	211	1
59-H2 5750	FORD	214.3370948	212	5
59-H2 5751	FORD	160.1622776	213	4
59-H2 5752	FORD	83.20484511	214	2
59-H2 5753	FORD	245.9827756	215	2
59-H2 5754	Honda	90.15207731	216	3
59-H2 5755	Honda	98.43521951	217	2
59-H2 5756	Honda	183.6556458	218	1
59-H2 5757	Honda	65.40199884	219	4
59-H2 5758	Honda	224.2164637	220	3
59-H2 5759	Honda	72.83624471	221	4
59-H2 5738	Audi	293.631702	200	4
59-H2 5739	Audi	114.3041544	201	3
59-H2 5740	Audi	256.6675682	202	2
59-H2 5741	Audi	62.45809154	203	1
59-H2 5742	Audi	244.7583263	204	4
59-H2 5743	FIAT	11.20988469	205	5
59-H2 5744	FIAT	142.2457143	206	1
59-H2 5745	FIAT	56.08895951	207	4
59-H2 5746	FIAT	270.1580097	208	2
59-H2 5747	FIAT	144.0378526	209	4
59-H2 5748	FIAT	290.1621374	210	3
59-H2 5749	FORD	126.2327696	211	1
59-H2 5750	FORD	29.43040689	212	5
59-H2 5751	FORD	114.8744069	213	4
59-H2 5752	FORD	210.9140628	214	2
59-H2 5753	FORD	158.5230678	215	2
59-H2 5754	Honda	143.049558	216	3
59-H2 5755	Honda	174.2263379	217	2
59-H2 5756	Honda	244.8820662	218	1
59-H2 5757	Honda	151.1463114	219	4
59-H2 5758	Honda	255.5092707	220	3
59-H2 5759	Honda	189.5555267	221	4
59-H2 5738	Audi	93.00012481	200	4
59-H2 5739	Audi	189.6596782	201	3
59-H2 5740	Audi	2.368719179	202	2
59-H2 5741	Audi	61.7248685	203	1
59-H2 5742	Audi	140.9430421	204	4
59-H2 5743	FIAT	295.7679593	205	5
59-H2 5744	FIAT	198.39593	206	1
59-H2 5745	FIAT	53.5445367	207	4
59-H2 5746	FIAT	7.493707874	208	2
59-H2 5747	FIAT	179.7979049	209	4
59-H2 5748	FIAT	53.72201452	210	3
59-H2 5749	FORD	17.29806048	211	1
59-H2 5750	FORD	153.3470767	212	5
59-H2 5751	FORD	299.7135044	213	4
59-H2 5752	FORD	163.9198292	214	2
59-H2 5753	FORD	179.4564824	215	2
59-H2 5754	Honda	120.6205538	216	3
59-H2 5755	Honda	250.4067168	217	2
59-H2 5756	Honda	215.1685344	218	1
59-H2 5757	Honda	71.10727797	219	4
59-H2 5758	Honda	39.29754195	220	3
59-H2 5759	Honda	158.230066	221	4
59-H2 5738	Audi	256.2188389	200	4
59-H2 5739	Audi	255.8164196	201	3
59-H2 5740	Audi	201.4852097	202	2
59-H2 5741	Audi	160.3800781	203	1
59-H2 5742	Audi	110.7326311	204	4
59-H2 5743	FIAT	79.94473911	205	5
59-H2 5744	FIAT	250.7020503	206	1
59-H2 5745	FIAT	297.963515	207	4
59-H2 5746	FIAT	199.9056611	208	2
59-H2 5747	FIAT	5.966610795	209	4
59-H2 5748	FIAT	280.9927119	210	3
59-H2 5749	FORD	179.3277473	211	1
59-H2 5750	FORD	208.7899692	212	5
59-H2 5751	FORD	141.3230744	213	4
59-H2 5752	FORD	5.152952801	214	2
59-H2 5753	FORD	221.327189	215	2
59-H2 5754	Honda	151.2480725	216	3
59-H2 5755	Honda	233.028592	217	2
59-H2 5756	Honda	154.5250904	218	1
59-H2 5757	Honda	33.5357283	219	4
59-H2 5758	Honda	137.2560106	220	3
59-H2 5759	Honda	118.8348388	221	4
59-H2 5738	Audi	236.3760997	200	4
59-H2 5739	Audi	100.9816184	201	3
59-H2 5740	Audi	8.189144986	202	2
59-H2 5741	Audi	69.98217659	203	1
59-H2 5742	Audi	296.8958766	204	4
59-H2 5743	FIAT	287.8052639	205	5
59-H2 5744	FIAT	121.9818388	206	1
59-H2 5745	FIAT	126.0040052	207	4
59-H2 5746	FIAT	196.3489186	208	2
59-H2 5747	FIAT	19.10285968	209	4
59-H2 5748	FIAT	263.1748092	210	3
59-H2 5749	FORD	290.0849499	211	1
59-H2 5750	FORD	65.22756384	212	5
59-H2 5751	FORD	0.567706937	213	4
59-H2 5752	FORD	105.8878841	214	2
59-H2 5753	FORD	90.3726542	215	2
59-H2 5754	Honda	9.311956803	216	3
59-H2 5755	Honda	171.7073326	217	2
59-H2 5756	Honda	31.86939597	218	1
59-H2 5757	Honda	261.5820523	219	4
59-H2 5758	Honda	218.0234218	220	3
59-H2 5759	Honda	88.65311293	221	4
59-H2 5738	Audi	125.6254115	200	4
59-H2 5739	Audi	72.41537662	201	3
59-H2 5740	Audi	129.8759434	202	2
59-H2 5741	Audi	19.30003234	203	1
59-H2 5742	Audi	217.8521234	204	4
59-H2 5743	FIAT	75.02513351	205	5
59-H2 5744	FIAT	236.1950255	206	1
59-H2 5745	FIAT	76.84816173	207	4
59-H2 5746	FIAT	19.56562092	208	2
59-H2 5747	FIAT	38.70456427	209	4
59-H2 5748	FIAT	217.7782753	210	3
59-H2 5749	FORD	65.99210831	211	1
59-H2 5750	FORD	193.5521804	212	5
59-H2 5751	FORD	187.8143561	213	4
59-H2 5752	FORD	296.9104165	214	2
59-H2 5753	FORD	100.3467633	215	2
59-H2 5754	Honda	225.5451421	216	3
59-H2 5755	Honda	58.7564704	217	2
59-H2 5756	Honda	23.64408529	218	1
59-H2 5757	Honda	22.61953086	219	4
59-H2 5758	Honda	210.0292453	220	3
59-H2 5759	Honda	205.196463	221	4
59-H2 5738	Audi	126.7889708	200	4
59-H2 5739	Audi	54.38548556	201	3
59-H2 5740	Audi	101.0199037	202	2
59-H2 5741	Audi	233.826506	203	1
59-H2 5742	Audi	257.5738251	204	4
59-H2 5743	FIAT	172.4422892	205	5
59-H2 5744	FIAT	58.23042194	206	1
59-H2 5745	FIAT	132.9085216	207	4
59-H2 5746	FIAT	103.585074	208	2
59-H2 5747	FIAT	276.6173995	209	4
59-H2 5748	FIAT	207.0664377	210	3
59-H2 5749	FORD	25.14230849	211	1
59-H2 5750	FORD	120.0496728	212	5
59-H2 5751	FORD	88.75436894	213	4
59-H2 5752	FORD	97.92315497	214	2
59-H2 5753	FORD	220.2948647	215	2
59-H2 5754	Honda	78.04606793	216	3
59-H2 5755	Honda	285.5178871	217	2
59-H2 5756	Honda	189.0178078	218	1
59-H2 5757	Honda	121.2353106	219	4
59-H2 5758	Honda	57.14486424	220	3
59-H2 5759	Honda	64.87657429	221	4
59-H2 5738	Audi	19.07095193	200	4
59-H2 5739	Audi	124.5648445	201	3
59-H2 5740	Audi	262.6278276	202	2
59-H2 5741	Audi	193.2149461	203	1
59-H2 5742	Audi	42.84715679	204	4
59-H2 5743	FIAT	33.34811159	205	5
59-H2 5744	FIAT	106.6225959	206	1
59-H2 5745	FIAT	256.7120715	207	4
59-H2 5746	FIAT	58.99283977	208	2
59-H2 5747	FIAT	18.03776548	209	4
59-H2 5748	FIAT	102.724217	210	3
59-H2 5749	FORD	124.7320239	211	1
59-H2 5750	FORD	101.3266996	212	5
59-H2 5751	FORD	176.0915029	213	4
59-H2 5752	FORD	276.5411508	214	2
59-H2 5753	FORD	130.0512086	215	2
59-H2 5754	Honda	133.6122527	216	3
59-H2 5755	Honda	19.64596708	217	2
59-H2 5756	Honda	118.9095388	218	1
59-H2 5757	Honda	271.6841944	219	4
59-H2 5758	Honda	146.5079008	220	3
59-H2 5759	Honda	113.0669211	221	4
59-H2 5738	Audi	166.3847232	200	4
59-H2 5739	Audi	202.8845421	201	3
59-H2 5740	Audi	36.31715053	202	2
59-H2 5741	Audi	151.6294824	203	1
59-H2 5742	Audi	200.7967949	204	4
59-H2 5743	FIAT	111.7437811	205	5
59-H2 5744	FIAT	259.5517304	206	1
59-H2 5745	FIAT	72.98890497	207	4
59-H2 5746	FIAT	136.4160618	208	2
59-H2 5747	FIAT	90.69321728	209	4
59-H2 5748	FIAT	275.2384111	210	3
59-H2 5749	FORD	254.0441686	211	1
59-H2 5750	FORD	106.4695982	212	5
59-H2 5751	FORD	298.4192841	213	4
59-H2 5752	FORD	271.5515244	214	2
59-H2 5753	FORD	236.1446685	215	2
59-H2 5754	Honda	92.97528502	216	3
59-H2 5755	Honda	33.72343829	217	2
59-H2 5756	Honda	196.9253336	218	1
59-H2 5757	Honda	199.579929	219	4
59-H2 5758	Honda	123.0030284	220	3
59-H2 5759	Honda	187.0524755	221	4
59-H2 5738	Audi	45.31965507	200	4
59-H2 5739	Audi	154.0342874	201	3
59-H2 5740	Audi	196.168868	202	2
59-H2 5741	Audi	119.38377	203	1
59-H2 5742	Audi	87.67969684	204	4
59-H2 5743	FIAT	38.33875263	205	5
59-H2 5744	FIAT	283.1515522	206	1
59-H2 5745	FIAT	162.3646281	207	4
59-H2 5746	FIAT	237.8892908	208	2
59-H2 5747	FIAT	261.408823	209	4
59-H2 5748	FIAT	81.16743198	210	3
59-H2 5749	FORD	293.7690254	211	1
59-H2 5750	FORD	36.2419087	212	5
59-H2 5751	FORD	37.3851992	213	4
59-H2 5752	FORD	291.8714633	214	2
59-H2 5753	FORD	192.8362402	215	2
59-H2 5754	Honda	80.19655822	216	3
59-H2 5755	Honda	274.8048725	217	2
59-H2 5756	Honda	93.84693504	218	1
59-H2 5757	Honda	49.35579282	219	4
59-H2 5758	Honda	171.619309	220	3
59-H2 5759	Honda	114.8817872	221	4
59-H2 5738	Audi	153.9594687	200	4
59-H2 5739	Audi	293.0990538	201	3
59-H2 5740	Audi	6.400419536	202	2
59-H2 5741	Audi	194.8103581	203	1
59-H2 5742	Audi	208.5165369	204	4
59-H2 5743	FIAT	42.01833351	205	5
59-H2 5744	FIAT	289.2308828	206	1
59-H2 5745	FIAT	278.4453581	207	4
59-H2 5746	FIAT	37.75650054	208	2
59-H2 5747	FIAT	113.6438851	209	4
59-H2 5748	FIAT	238.980676	210	3
59-H2 5749	FORD	164.2537244	211	1
59-H2 5750	FORD	206.0327554	212	5
59-H2 5751	FORD	250.0205933	213	4
59-H2 5752	FORD	21.65528013	214	2
59-H2 5753	FORD	282.4460848	215	2
59-H2 5754	Honda	59.13340925	216	3
59-H2 5755	Honda	186.4029637	217	2
59-H2 5756	Honda	166.3778781	218	1
59-H2 5757	Honda	21.34728036	219	4
59-H2 5758	Honda	213.3666441	220	3
59-H2 5759	Honda	13.27708598	221	4
59-H2 5738	Audi	96.04961743	200	4
59-H2 5739	Audi	54.49406546	201	3
59-H2 5740	Audi	63.59366539	202	2
59-H2 5741	Audi	72.75364315	203	1
59-H2 5742	Audi	89.25436204	204	4
59-H2 5743	FIAT	90.68399029	205	5
59-H2 5744	FIAT	66.44230536	206	1
59-H2 5745	FIAT	117.5369824	207	4
59-H2 5746	FIAT	297.867462	208	2
59-H2 5747	FIAT	125.4712895	209	4
59-H2 5748	FIAT	147.8691689	210	3
59-H2 5749	FORD	215.1646129	211	1
59-H2 5750	FORD	72.47531872	212	5
59-H2 5751	FORD	242.9548992	213	4
59-H2 5752	FORD	119.6967233	214	2
59-H2 5753	FORD	175.1879464	215	2
59-H2 5754	Honda	271.94298	216	3
59-H2 5755	Honda	176.3159368	217	2
59-H2 5756	Honda	9.537871196	218	1
59-H2 5757	Honda	78.49642011	219	4
59-H2 5758	Honda	40.21496728	220	3
59-H2 5759	Honda	277.035953	221	4
59-H2 5738	Audi	76.54972586	200	4
59-H2 5739	Audi	123.0928505	201	3
59-H2 5740	Audi	223.1750453	202	2
59-H2 5741	Audi	196.1260852	203	1
59-H2 5742	Audi	42.56091791	204	4
59-H2 5743	FIAT	251.298711	205	5
59-H2 5744	FIAT	117.425677	206	1
59-H2 5745	FIAT	279.2993785	207	4
59-H2 5746	FIAT	155.621825	208	2
59-H2 5747	FIAT	108.1941008	209	4
59-H2 5748	FIAT	87.17027538	210	3
59-H2 5749	FORD	235.9998667	211	1
59-H2 5750	FORD	251.5054437	212	5
59-H2 5751	FORD	267.0096457	213	4
59-H2 5752	FORD	70.91780126	214	2
59-H2 5753	FORD	133.9291846	215	2
59-H2 5754	Honda	19.08279862	216	3
59-H2 5755	Honda	194.6930702	217	2
59-H2 5756	Honda	111.2784203	218	1
59-H2 5757	Honda	255.7851878	219	4
59-H2 5758	Honda	287.6877837	220	3
59-H2 5759	Honda	6.402873964	221	4
59-H2 5738	Audi	107.1566135	200	4
59-H2 5739	Audi	62.62263743	201	3
59-H2 5740	Audi	105.6835563	202	2
59-H2 5741	Audi	81.99650408	203	1
59-H2 5742	Audi	177.2492122	204	4
59-H2 5743	FIAT	204.844878	205	5
59-H2 5744	FIAT	5.132302071	206	1
59-H2 5745	FIAT	74.54786993	207	4
59-H2 5746	FIAT	124.4965906	208	2
59-H2 5747	FIAT	62.75656747	209	4
59-H2 5748	FIAT	167.5734162	210	3
59-H2 5749	FORD	150.570761	211	1
59-H2 5750	FORD	35.68562841	212	5
59-H2 5751	FORD	106.6811336	213	4
59-H2 5752	FORD	126.9168518	214	2
59-H2 5753	FORD	41.36599588	215	2
59-H2 5754	Honda	226.0136118	216	3
59-H2 5755	Honda	78.61526741	217	2
59-H2 5756	Honda	19.56601267	218	1
59-H2 5757	Honda	18.56245925	219	4
59-H2 5758	Honda	19.97289917	220	3
59-H2 5759	Honda	59.21101777	221	4
59-H2 5738	Audi	49.77420417	200	4
59-H2 5739	Audi	204.1282161	201	3
59-H2 5740	Audi	270.6434621	202	2
59-H2 5741	Audi	121.5750497	203	1
59-H2 5742	Audi	217.4459969	204	4
59-H2 5743	FIAT	75.92588373	205	5
59-H2 5744	FIAT	270.7775701	206	1
59-H2 5745	FIAT	297.1752617	207	4
59-H2 5746	FIAT	119.2434425	208	2
59-H2 5747	FIAT	243.6414181	209	4
59-H2 5748	FIAT	83.25539018	210	3
59-H2 5749	FORD	283.7389225	211	1
59-H2 5750	FORD	20.41439058	212	5
59-H2 5751	FORD	73.45064495	213	4
59-H2 5752	FORD	261.0939422	214	2
59-H2 5753	FORD	130.6582174	215	2
59-H2 5754	Honda	175.5348416	216	3
59-H2 5755	Honda	245.8071651	217	2
59-H2 5756	Honda	174.6311727	218	1
59-H2 5757	Honda	45.90542915	219	4
59-H2 5758	Honda	26.66621585	220	3
59-H2 5759	Honda	54.50507056	221	4
59-H2 5738	Audi	207.2585037	200	4
59-H2 5739	Audi	232.9215598	201	3
59-H2 5740	Audi	221.0497054	202	2
59-H2 5741	Audi	199.8715187	203	1
59-H2 5742	Audi	231.0055075	204	4
59-H2 5743	FIAT	275.586922	205	5
59-H2 5744	FIAT	191.0055823	206	1
59-H2 5745	FIAT	99.87044522	207	4
59-H2 5746	FIAT	91.54649902	208	2
59-H2 5747	FIAT	96.41303889	209	4
59-H2 5748	FIAT	125.965234	210	3
59-H2 5749	FORD	210.8684986	211	1
59-H2 5750	FORD	131.2581858	212	5
59-H2 5751	FORD	175.2458237	213	4
59-H2 5752	FORD	201.2178984	214	2
59-H2 5753	FORD	271.6880809	215	2
59-H2 5754	Honda	71.34150041	216	3
59-H2 5755	Honda	255.6512021	217	2
59-H2 5756	Honda	82.70666342	218	1
59-H2 5757	Honda	87.32143143	219	4
59-H2 5758	Honda	279.461444	220	3
59-H2 5759	Honda	110.386459	221	4
59-H2 5738	Audi	30.25589414	200	4
59-H2 5739	Audi	211.9131902	201	3
59-H2 5740	Audi	165.2996057	202	2
59-H2 5741	Audi	211.4405172	203	1
59-H2 5742	Audi	234.6373021	204	4
59-H2 5743	FIAT	149.747245	205	5
59-H2 5744	FIAT	284.1960767	206	1
59-H2 5745	FIAT	51.05219962	207	4
59-H2 5746	FIAT	254.4180576	208	2
59-H2 5747	FIAT	144.4950197	209	4
59-H2 5748	FIAT	31.59059093	210	3
59-H2 5749	FORD	280.1634215	211	1
59-H2 5750	FORD	278.9994184	212	5
59-H2 5751	FORD	207.0762141	213	4
59-H2 5752	FORD	260.4607803	214	2
59-H2 5753	FORD	220.4071028	215	2
59-H2 5754	Honda	238.7906433	216	3
59-H2 5755	Honda	208.7195776	217	2
59-H2 5756	Honda	209.5345467	218	1
59-H2 5757	Honda	87.75070078	219	4
59-H2 5758	Honda	6.151115378	220	3
59-H2 5759	Honda	79.57922258	221	4
59-H2 5738	Audi	45.27172937	200	4
59-H2 5739	Audi	252.0803187	201	3
59-H2 5740	Audi	255.2876794	202	2
59-H2 5741	Audi	242.2631927	203	1
59-H2 5742	Audi	147.2233574	204	4
59-H2 5743	FIAT	252.5131089	205	5
59-H2 5744	FIAT	4.794135515	206	1
59-H2 5745	FIAT	271.8988753	207	4
59-H2 5746	FIAT	96.29010127	208	2
59-H2 5747	FIAT	7.075086297	209	4
59-H2 5748	FIAT	65.0033272	210	3
59-H2 5749	FORD	108.3442733	211	1
59-H2 5750	FORD	118.4324172	212	5
59-H2 5751	FORD	41.68184117	213	4
59-H2 5752	FORD	40.28434615	214	2
59-H2 5753	FORD	251.6012537	215	2
59-H2 5754	Honda	269.3411354	216	3
59-H2 5755	Honda	248.3013461	217	2
59-H2 5756	Honda	208.3299049	218	1
59-H2 5757	Honda	221.654446	219	4
59-H2 5758	Honda	261.9794786	220	3
59-H2 5759	Honda	118.1967759	221	4
59-H2 5738	Audi	33.9798223	200	4
59-H2 5739	Audi	58.01440117	201	3
59-H2 5740	Audi	185.0278292	202	2
59-H2 5741	Audi	172.4263662	203	1
59-H2 5742	Audi	115.2838197	204	4
59-H2 5743	FIAT	280.8640503	205	5
59-H2 5744	FIAT	277.050944	206	1
59-H2 5745	FIAT	180.5941713	207	4
59-H2 5746	FIAT	69.24647914	208	2
59-H2 5747	FIAT	233.0609723	209	4
59-H2 5748	FIAT	169.5027447	210	3
59-H2 5749	FORD	231.9558628	211	1
59-H2 5750	FORD	68.04474717	212	5
59-H2 5751	FORD	271.7941195	213	4
59-H2 5752	FORD	44.92090775	214	2
59-H2 5753	FORD	279.4139107	215	2
59-H2 5754	Honda	109.262962	216	3
59-H2 5755	Honda	194.4404481	217	2
59-H2 5756	Honda	160.2880848	218	1
59-H2 5757	Honda	130.8477794	219	4
59-H2 5758	Honda	52.29354599	220	3
59-H2 5759	Honda	29.36764043	221	4
59-H2 5738	Audi	219.6833597	200	4
59-H2 5739	Audi	274.20124	201	3
59-H2 5740	Audi	15.86385933	202	2
59-H2 5741	Audi	252.2120302	203	1
59-H2 5742	Audi	255.0687336	204	4
59-H2 5743	FIAT	295.4864408	205	5
59-H2 5744	FIAT	116.9263202	206	1
59-H2 5745	FIAT	2.843724797	207	4
59-H2 5746	FIAT	59.47063552	208	2
59-H2 5747	FIAT	200.8384418	209	4
59-H2 5748	FIAT	69.62745699	210	3
59-H2 5749	FORD	280.7013644	211	1
